0,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total_Test,Test_test/1M_Population
49,4/4/2020,Iceland,"1,417",53,4,,396,"1,017",12,"4,152",12,"23,640","69,276"
50,4/4/2020,Colombia,"1,406",139,32,7,85,"1,289",50,28,0.6,"23,706",466
51,4/4/2020,Qatar,"1,325",250,3,,109,"1,213",37,460,1,"31,951","11,090"
52,4/4/2020,Algeria,"1,251",80,130,25,90,"1,031",,29,3,"3,359",77
53,4/4/2020,Ukraine,"1,225",153,32,5,25,"1,168",16,28,0.7,"5,040",115
54,4/4/2020,Singapore,"1,189",75,6,1,297,886,24,203,1,"39,000","6,666"
55,4/4/2020,Croatia,"1,126",47,12,4,119,995,39,274,3,"9,833","2,395"
56,4/4/2020,Egypt,"1,070",85,71,5,241,758,,10,0.7,"25,000",244
57,4/4/2020,Estonia,"1,039",78,13,1,59,967,20,783,10,"19,091","14,392"
58,4/4/2020,Slovenia,977,43,22,2,79,876,31,470,11,"27,109","13,040"
59,4/4/2020,New0Zealand,950,82,1,,127,822,1,197,0.2,"33,116","6,867"
60,4/4/2020,Morocco,919,128,59,11,66,794,1,25,2,"4,321",117
61,4/4/2020,Iraq,878,58,56,2,259,563,,22,1,,
62,4/4/2020,Hong0Kong,862,17,4,,173,685,8,115,0.5,"90,000","12,005"
63,4/4/2020,Lithuania,771,75,11,2,7,753,11,283,4,"21,376","7,852"
64,4/4/2020,Armenia,770,34,7,,43,720,30,260,2,"3,994","1,348"
65,4/4/2020,Moldova,752,161,12,4,29,711,65,186,3,681,169
66,4/4/2020,Diamond0Princess,712,,11,,619,82,10,,,,
67,4/4/2020,Bahrain,688,16,4,,423,261,3,404,2,"39,379","23,143"
68,4/4/2020,Hungary,678,55,32,6,58,588,17,70,3,"19,424","2,011"
69,4/4/2020,Bosnia0and0Herzegovina,624,45,21,4,30,573,4,190,6,"5,349","1,630"
70,4/4/2020,Cameroon,555,46,9,1,17,529,,21,0.3,,
71,4/4/2020,Tunisia,553,58,18,,5,530,26,47,2,"6,485",549
72,4/4/2020,Kazakhstan,531,67,5,2,36,490,6,28,0.3,316,17
73,4/4/2020,Azerbaijan,521,78,5,,32,484,17,51,0.5,"35,000","3,452"
74,4/4/2020,Lebanon,520,12,17,,54,449,27,76,2,"9,022","1,322"
75,4/4/2020,Latvia,509,16,1,,1,507,3,270,0.5,"19,380","10,275"
76,4/4/2020,Bulgaria,503,18,17,3,34,452,26,72,2,566,81
